Designator,Mid X,Mid Y,Rotation,Layer
U566,507.8,-489.999999,90.0,top
U567,507.8,-501.199999,90.0,top
U568,507.8,-512.4,90.0,top
U569,507.8,-523.6,90.0,top
U57,407.0,-646.800001,270.0,top
U570,507.8,-534.8,90.0,top
U571,519.0,-478.8,90.0,top
U572,519.0,-490.0,90.0,top
U573,519.0,-501.2,90.0,top
U574,519.0,-512.4,90.0,top
U575,519.0,-523.6,90.0,top
U576,519.0,-534.8,90.0,top
U577,530.2,-478.8,270.0,top
U578,530.2,-490.0,270.0,top
U579,530.2,-501.2,270.0,top
U58,407.0,-635.6,270.0,top
U580,530.2,-512.4,270.0,top
U581,530.2,-523.6,270.0,top
U582,530.2,-534.8,270.0,top
U583,541.4,-478.8,90.0,top
U584,541.4,-489.999999,90.0,top
U585,541.4,-501.2,90.0,top
U586,541.4,-512.4,90.0,top
U587,541.4,-523.6,90.0,top
U588,541.4,-534.8,90.0,top
U589,552.6,-478.8,270.0,top
U59,407.0,-624.4,270.0,top
U590,552.6,-489.999999,270.0,top
U591,552.6,-501.199999,270.0,top
U592,552.6,-512.4,270.0,top
U593,552.6,-523.6,270.0,top
U594,552.6,-534.8,270.0,top
U595,563.8,-478.8,90.0,top
U596,563.8,-489.999999,90.0,top
U597,563.8,-501.199999,90.0,top
U598,563.8,-512.4,90.0,top
U599,563.8,-523.6,90.0,top
U6,619.8,-613.2,270.0,top
U60,407.0,-613.2,270.0,top
U600,563.8,-534.8,90.0,top
U601,619.8,-333.2,270.0,top
U602,619.8,-322.0,270.0,top
U603,619.8,-310.8,270.0,top
U604,619.8,-299.6,270.0,top
U605,619.8,-288.4,270.0,top
U606,619.8,-277.2,270.0,top
U607,608.6,-333.2,90.0,top
U608,608.6,-322.0,90.0,top
U609,608.6,-310.8,90.0,top
U61,463.0,-210.0,90.0,top
U610,608.6,-299.6,90.0,top
U611,608.6,-288.4,90.0,top
U612,608.6,-277.2,90.0,top
U613,597.4,-333.2,270.0,top
U614,597.4,-322.000001,270.0,top
U615,597.4,-310.8,270.0,top
U616,597.4,-299.6,270.0,top
U617,597.4,-288.4,270.0,top
U618,597.4,-277.2,270.0,top
U619,586.2,-333.2,90.0,top
U62,463.0,-221.2,90.0,top
U620,586.2,-322.000001,90.0,top
U621,586.2,-310.800001,90.0,top
U622,586.2,-299.6,90.0,top
U623,586.2,-288.4,90.0,top
U624,586.2,-277.2,90.0,top
U625,575.0,-333.2,270.0,top
U626,575.0,-322.000001,270.0,top
U627,575.0,-310.800001,270.0,top
U628,575.0,-299.6,270.0,top
U629,575.0,-288.4,270.0,top
U63,463.0,-232.4,90.0,top
U630,575.0,-277.2,270.0,top
U631,451.8,-333.2,270.0,top
U632,451.8,-322.0,270.0,top
U633,451.8,-310.8,270.0,top
U634,451.8,-299.6,270.0,top
U635,451.8,-288.4,270.0,top
U636,451.8,-277.2,270.0,top
U637,440.6,-333.2,90.0,top
U638,440.6,-322.0,90.0,top
U639,440.6,-310.8,90.0,top
U64,463.0,-243.6,90.0,top
U640,440.6,-299.6,90.0,top
U641,440.6,-288.4,90.0,top
U642,440.6,-277.2,90.0,top
U643,429.4,-333.2,270.0,top
U644,429.4,-322.000001,270.0,top
U645,429.4,-310.8,270.0,top
U646,429.4,-299.6,270.0,top
U647,429.4,-288.4,270.0,top
U648,429.4,-277.2,270.0,top
U649,418.2,-333.2,90.0,top
U65,463.0,-254.8,90.0,top
U650,418.2,-322.000001,90.0,top
U651,418.2,-310.800001,90.0,top
U652,418.2,-299.6,90.0,top
U653,418.2,-288.4,90.0,top
U654,418.2,-277.2,90.0,top
U655,407.0,-333.2,270.0,top
U656,407.0,-322.000001,270.0,top
U657,407.0,-310.800001,270.0,top
U658,407.0,-299.6,270.0,top
U659,407.0,-288.4,270.0,top
U66,463.0,-266.0,90.0,top
U660,407.0,-277.2,270.0,top
U661,463.0,-546.0,90.0,top
U662,463.0,-557.2,90.0,top
